_ga;GA1.2.1868093044.1584535294;.guru99.com;/;Fri Mar 18 18:11:35 IST 2022;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Wed Mar 18 18:12:33 IST 2020;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.685167984.1584535294;.guru99.com;/;Thu Mar 19 18:11:35 IST 2020;false
